,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,time_in_seconds,on_name,off_name,on_id,off_id,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,team_code,team_id,team_short
0,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712900,90 +2,substitution,"Substitution, Manchester United. Fred replaces Christian Eriksen.","[5906, 4845]",5461,Fred,Christian Eriksen,5906,4845,p101582,p80607,331,519,12,14,MUN
1,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712896,89,substitution,"Substitution, Southampton. Lyanco replaces Joe Aribo.","[49961, 13956]",5301,Lyanco,Joe Aribo,49961,13956,p212721,p193204,413,512,20,17,SOU
2,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712897,89,substitution,"Substitution, Southampton. Romain Perraud replaces Moussa Djenepo.","[21495, 52153]",5283,Romain Perraud,Moussa Djenepo,21495,52153,p244560,p431131,417,418,20,17,SOU
3,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712889,80,substitution,"Substitution, Manchester United. Casemiro replaces Anthony Elanga.","[5793, 49259]",4784,Casemiro,Anthony Elanga,5793,49259,p61256,p449434,593,344,12,14,MUN
4,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712886,77,substitution,"Substitution, Southampton. Sékou Mara replaces Adam Armstrong.","[127416, 9199]",4616,Sékou Mara,Adam Armstrong,127416,9199,p476888,p155511,528,408,20,17,SOU
5,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712874,68,substitution,"Substitution, Manchester United. Cristiano Ronaldo replaces Jadon Sancho.","[2522, 14801]",4036,Cristiano Ronaldo,Jadon Sancho,2522,14801,p14937,p209243,326,340,12,14,MUN
6,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712867,63,substitution,"Substitution, Southampton. Stuart Armstrong replaces Mohamed Elyounoussi.","[12186, 15967]",3758,Stuart Armstrong,Mohamed Elyounoussi,12186,15967,p91047,p96787,405,406,20,17,SOU
7,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713343,90 +2,substitution,"Substitution, Brentford. Mads Bech Sørensen replaces Josh Dasilva.","[25540, 14457]",5512,Mads Bech Sørensen,Josh Dasilva,25540,14457,p228044,p183656,91,83,130,4,BRE
8,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713303,86,substitution,"Substitution, Everton. Rúben Vinagre replaces Vitalii Mykolenko.","[20171, 24983]",5115,Rúben Vinagre,Vitalii Mykolenko,20171,24983,p216054,p224967,531,194,7,8,EVE
9,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713304,86,substitution,"Substitution, Everton. Salomón Rondón replaces Dwight McNeil.","[6030, 24797]",5113,Salomón Rondón,Dwight McNeil,6030,24797,p57134,p433154,177,534,7,8,EVE
