,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,on_name,off_name,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,on_id,off_id
0,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707197,90 +5,substitution,"Substitution, Aston Villa. Calum Chambers replaces Diego Carlos because of an injury.","[4620, 12994]",Calum Chambers,Diego Carlos,p101184,p165659,32,50,4620,12994
1,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707199,90 +4,substitution,"Substitution, Aston Villa. Ashley Young replaces Jacob Ramsey.","[3062, 19888]",Ashley Young,Jacob Ramsey,p18892,p232653,538,47,3062,19888
2,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707198,90 +4,substitution,"Substitution, Aston Villa. Ezri Konsa replaces Matty Cash because of an injury.","[13274, 13344]",Ezri Konsa,Matty Cash,p199798,p199796,44,43,13274,13344
3,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707184,81,substitution,"Substitution, Everton. Amadou Onana replaces Demarai Gray.","[108096, 7946]",Amadou Onana,Demarai Gray,p449871,p172632,577,189,108096,7946
4,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707185,81,substitution,"Substitution, Everton. Dele Alli replaces Conor Coady.","[9167, 4136]",Dele Alli,Conor Coady,p108823,p94147,181,475,9167,4136
5,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707178,78,substitution,"Substitution, Aston Villa. Leon Bailey replaces Danny Ings.","[20489, 8245]",Leon Bailey,Danny Ings,p215711,p84939,45,30,20489,8245
6,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707160,64,substitution,"Substitution, Everton. Salomón Rondón replaces Dwight McNeil.","[6030, 24797]",Salomón Rondón,Dwight McNeil,p57134,p433154,177,534,6030,24797
7,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707158,60,substitution,"Substitution, Aston Villa. Emiliano Buendía replaces Philippe Coutinho because of an injury.","[26408, 4525]",Emiliano Buendía,Philippe Coutinho,p195546,p84583,42,29,26408,4525
8,2,"Sat 13 Aug 2022, 12:30 BST",Aston Villa,Everton,2,1,1707132,34,substitution,"Substitution, Everton. Tom Davies replaces Abdoulaye Doucouré because of an injury.","[13389, 13823]",Tom Davies,Abdoulaye Doucouré,p173807,p121599,190,185,13389,13823
9,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707582,84,substitution,"Substitution, Arsenal. Emile Smith Rowe replaces Bukayo Saka.","[14445, 49481]",Emile Smith Rowe,Bukayo Saka,p209289,p223340,12,13,14445,49481
